ear_data,ear
2006-03-16,91986.69037
2006-03-17,92194.24724
2006-03-18,92380.62705
2006-03-19,92701.38040000001
2006-03-20,92704.94785
2006-03-21,92774.82624
2006-03-22,92802.1805
2006-03-23,92894.796
2006-03-24,93085.85665
2006-03-25,93488.30358
2006-03-26,94065.25074999999
2006-03-27,94393.61383
2006-03-28,94683.98466
2006-03-29,95078.17638
2006-03-30,95392.58929
2006-03-31,95681.67654
2006-04-01,96666.44639
2006-04-02,97003.73133
2006-04-03,97004.03638
2006-04-04,97082.60254
2006-04-05,97102.14846
2006-04-06,97284.16673
2006-04-07,97558.88546
2006-04-08,97805.60457
2006-04-09,98250.80956000001
2006-04-10,98496.08898
2006-04-11,98696.77351
2006-04-12,98841.49454
2006-04-13,98880.36633
2006-04-14,99004.64785000001
2006-04-15,98953.37227
2006-04-16,99129.58194
2006-04-17,99232.1902
2006-04-18,99399.94625000001
2006-04-19,99473.60466000001
2006-04-20,99367.57115999999
2006-04-21,99362.53589
2006-04-22,99387.3157
2006-04-23,99451.55572
2006-04-24,99377.53588
2006-04-25,99193.22009
2006-04-26,99150.39837000001
2006-04-27,99081.67641
2006-04-28,98931.59412
2006-04-29,98828.53216
2006-04-30,98844.24115999999
2006-05-01,98927.77167
2006-05-02,98717.27905
2006-05-03,98605.08262
2006-05-04,98490.47484
2006-05-05,98423.71021
2006-05-06,98410.73176
2006-05-07,98474.75193
2006-05-08,98346.22237
2006-05-09,98225.18923999999
2006-05-10,98070.61761
2006-05-11,97980.94558
2006-05-12,97828.04765000001
2006-05-13,97715.33338
2006-05-14,97717.04257
2006-05-15,97575.16579
2006-05-16,98566.82214
2006-05-17,98379.54182000001
2006-05-18,98201.17628
2006-05-19,98043.05864999999
2006-05-20,98004.81135
2006-05-21,97961.22349
2006-05-22,97806.53842
2006-05-23,97697.01564
2006-05-24,97578.88307
2006-05-25,97510.26738
2006-05-26,97307.6185
2006-05-27,97232.12348000001
2006-05-28,97252.45652
2006-05-29,96985.21315
2006-05-30,96796.01095
2006-05-31,96604.04286
2006-06-01,96381.99721
2006-06-02,96157.00834
2006-06-03,96059.0598
2006-06-04,96197.71699
2006-06-05,95718.81063
2006-06-06,95478.87876
2006-06-07,95192.28105
2006-06-08,94951.32092
2006-06-09,94696.74393
2006-06-10,94424.42252000001
2006-06-11,94338.39569
2006-06-12,94009.92640000001
2006-06-13,93758.24293000001
2006-06-14,93443.43298
2006-06-15,93335.052
2006-06-16,93019.51855
2006-06-17,92847.59968
2006-06-18,92745.29652999999
2006-06-19,92403.26718
2006-06-20,92131.15105
2006-06-21,91911.48795000001
2006-06-22,91609.74847
2006-06-23,91278.67631
2006-06-24,90969.83067
2006-06-25,90848.99588
2006-06-26,90538.29926
2006-06-27,90253.59504
2006-06-28,89952.76342
2006-06-29,89732.54749
2006-06-30,89410.76598
2006-07-01,89252.15177
2006-07-02,89173.72757
2006-07-03,88797.97537
2006-07-04,88509.5692
2006-07-05,88159.16405
2006-07-06,87877.39605
2006-07-07,87583.71341000001
2006-07-08,87330.59729
2006-07-09,87190.42952
2006-07-10,86897.4844
2006-07-11,86565.93710000001
2006-07-12,86294.08378
2006-07-13,85997.35152
2006-07-14,85727.17907
2006-07-15,85498.54478
2006-07-16,85387.51836
2006-07-17,85048.52445
2006-07-18,84673.19778
2006-07-19,84341.78531
2006-07-20,83995.91208
