nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
GUILM. AMORIM;192;Fio dagua;DOCE;;SE;SUDESTE;2005-01-02;130.0;85.02;118.0;77.17
HENRY BORDEN;119;Fio dagua;TIETE;;SE;SUDESTE;2005-01-02;169.0;46.07;169.0;46.07
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;2005-01-02;3104.0;90.33;3104.0;90.33
IBITINGA;39;Fio dagua;TIETE;;SE;SUDESTE;2005-01-02;98.0;56.83;98.0;56.83
IGARAPAVA;10;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;224.0;71.83;224.0;71.83
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;162.0;71.75;162.0;71.75
ITÁ;92;Fio dagua;URUGUAI;;S;SUL;2005-01-02;285.0;44.52;285.0;44.52
ITAIPU;66;Fio dagua;PARANA;;SE;SUDESTE;2005-01-02;16771.0;109.7;15366.0;100.51
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2005-01-02;1558.0;75.52;1558.0;75.52
ITAPEBI;154;Fio dagua;JEQUITINHONHA;;NE;NORDESTE;2005-01-02;255.0;44.31;255.0;44.31
ITAUBA;113;Fio dagua;JACUI;;S;SUL;2005-01-02;51.0;35.57;51.0;35.57
ITIQUIRA I;304;Fio dagua;PARAGUAI;;SE;SUDESTE;2005-01-02;85.0;110.37;68.0;88.29
ITIQUIRA II;305;Fio dagua;PARAGUAI;;SE;SUDESTE;2005-01-02;138.0;110.07;138.0;110.07
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-02;1407.0;77.12;1407.0;77.12
ITUTINGA;2;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;42.0;69.39;42.0;69.39
JACUI;112;Fio dagua;JACUI;;S;SUL;2005-01-02;44.0;37.86;44.0;37.86
JAGUARA;9;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;555.0;68.78;458.0;56.76
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;6.0;26.6;6.0;26.6
JAURU;195;Fio dagua;PARAGUAI;;SE;SUDESTE;2005-01-02;71.0;79.57;71.0;79.57
JUPIA;45;Fio dagua;PARANA;;SE;SUDESTE;2005-01-02;1849.0;92.83;1745.0;87.6
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-02;58.0;59.72;58.0;59.72
L. C. BARRETO;8;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;752.0;67.51;752.0;67.51
LAJEADO;261;Fio dagua;TOCANTINS;;SE;SUDESTE;2005-01-02;586.0;41.39;586.0;41.39
LIMOEIRO;16;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;20.0;60.74;20.0;60.74
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-02;426.0;65.89;376.0;58.16
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-02;196.0;41.68;196.0;41.68
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;2005-01-02;110.0;70.33;110.0;70.33
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-02;1391.0;86.74;1391.0;86.74
MASCARENHAS;144;Fio dagua;DOCE;;SE;SUDESTE;2005-01-02;288.0;86.97;99.0;29.9
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-02;255.0;69.77;255.0;69.77
MONTE CLARO;98;Fio dagua;JACUI;;S;SUL;2005-01-02;14.0;23.79;0.0;0.0
MOXOTO;173;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-02;339.0;75.62;339.0;75.62
N. AVANHANDAVA;42;Fio dagua;TIETE;;SE;SUDESTE;2005-01-02;200.0;64.2;200.0;64.2
NILO PEÇANHA;131;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;379.0;100.76;379.0;100.76
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-02;329.0;63.32;329.0;63.32
P. AFONSO 1,2,3;174;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-02;1322.0;75.58;1322.0;75.58
P. AFONSO 4;175;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-02;1888.0;75.58;1888.0;75.58
P. COLOMBIA;12;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-02;402.0;81.0;402.0;81.0
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;26.0;35.29;26.0;35.29
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-02;24.0;30.2;24.0;30.2
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;2005-01-02;20.0;37.93;20.0;37.93
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;2005-01-02;15.0;10.21;15.0;10.21
PEREIRA PASSOS;133;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;57.0;96.49;57.0;96.49
PIRAJU;48;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-02;45.0;57.77;45.0;57.77
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;2005-01-02;97.0;75.55;97.0;75.55
PORTO PRIMAVERA;46;Fio dagua;PARANA;;SE;SUDESTE;2005-01-02;1925.0;99.78;1339.0;69.4
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-02;142.0;61.96;142.0;61.96
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-02;30.0;49.62;30.0;49.62
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2005-01-02;99.0;76.99;97.0;75.44
ROSAL;217;Fio dagua;ITABAPOANA;;SE;SUDESTE;2005-01-02;183.0;176.33;51.0;49.14
ROSANA;63;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-02;198.0;60.14;198.0;60.14
SA CARVALHO;193;Fio dagua;DOCE;;SE;SUDESTE;2005-01-02;130.0;85.07;85.0;55.62
SALTO CAXIAS;82;Fio dagua;IGUACU;;S;SUL;2005-01-02;375.0;53.22;375.0;53.22
SALTO GRANDE CM;134;Fio dagua;DOCE;;SE;SUDESTE;2005-01-02;172.0;75.68;87.0;38.28
SALTO GRANDE CS;50;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-02;51.0;51.01;51.0;51.01
SALTO OSORIO;78;Fio dagua;IGUACU;;S;SUL;2005-01-02;328.0;54.3;328.0;54.3
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;;S;SUL;2005-01-02;465.0;54.77;465.0;54.77
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;16.0;37.84;16.0;37.84
SANTA CECILIA;125;Reservatório Com Usina de Bombeamento;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;0.0;0.0;0.0;0.0
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-02;1972.0;78.53;1972.0;78.53
SEGREDO;76;Reservatório com Usina;IGUACU;;S;SUL;2005-01-02;460.0;55.88;460.0;55.88
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;2005-01-02;694.0;47.99;694.0;47.99
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2005-01-02;928.0;84.34;928.0;84.34
SOBRAGI;127;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-02;70.0;88.25;49.0;61.78
STA.CLARA-MG;283;Fio dagua;MUCURI;;SE;SUDESTE;2005-01-02;36.0;45.64;36.0;45.64
