din_instante,cmo
2021-01-22,223.695526
2021-01-29,177.7264454
2021-02-05,147.9219358
2021-02-12,179.23847740000002
2021-02-19,166.41667159999997
2021-02-26,175.7364852
2021-03-05,134.581282
2021-03-12,74.6094016
2021-03-19,123.9288736
2021-03-26,129.40507940000003
2021-04-02,80.5215735
2021-04-09,143.5521719
2021-04-16,120.39808489999999
2021-04-23,159.47368830000002
2021-04-30,157.816204
2021-05-07,131.645298
2021-05-14,151.6168196
2021-05-21,214.1359282
2021-05-28,277.932169
2021-06-04,314.42626140000004
2021-06-11,403.8137322
2021-06-18,410.1773864
2021-06-25,641.0734070000001
2021-07-02,944.531109
2021-07-09,957.1008576
2021-07-16,1030.529389
2021-07-23,1109.4878098
2021-07-30,1238.97522
2021-08-06,2540.1291964
2021-08-13,2900.94198
2021-08-20,3044.3891109999995
2021-08-27,2442.3296349
2021-09-03,1022.0699637
2021-09-10,1211.5247312
2021-09-17,868.2826339999999
2021-09-24,712.71766
2021-10-01,533.3493328000001
2021-10-08,426.19147599999997
2021-10-15,198.73602520000003
2021-10-22,172.59654799999998
2021-10-29,161.0067798
2021-11-05,94.0881182
2021-11-12,99.6380072
2021-11-19,68.90862179999999
2021-11-26,88.2282354
2021-12-03,41.6091678
2021-12-10,56.648867
2021-12-17,84.5683086
2021-12-24,63.6587268
2021-12-31,58.61726590000001
2022-01-07,56.69746590000001
2022-01-14,38.2080975
2022-01-21,46.877568700000005
2022-01-28,46.5858015
2022-02-04,10.0547625
2022-02-11,5.296773000000001
2022-02-18,7.7326815
2022-02-25,8.795071499999999
2022-03-04,7.7318295
2022-03-11,9.489594
2022-03-18,10.01682
2022-03-25,9.060669
2022-04-01,32.114532
2022-04-08,30.4678275
2022-04-15,4.9173480000000005
2022-04-22,20.359945500000002
2022-04-29,24.450147
2022-05-06,15.450186
2022-05-13,11.481400500000001
2022-05-20,40.9191816
2022-05-27,42.2791544
2022-06-03,39.499210000000005
2022-06-10,57.888842200000006
2022-06-17,50.1689966
2022-06-24,50.078998399999996
2022-07-01,45.349093
2022-07-08,55.8588828
2022-07-15,56.9588608
2022-07-22,66.8086638
2022-07-29,72.0085598
2022-08-05,98.6680266
2022-08-12,91.11817760000001
2022-08-19,70.648587
2022-08-26,51.648967
2022-09-02,50.1889962
2022-09-09,36.9792604
2022-09-16,44.2791144
