,Date,Price,change,cmo,ear,ena
288,2016-10-14,37461.5,0.24,203.9059218,47333.76586,12651.13626
289,2016-10-07,36893.72,0.64,198.8560228,49209.95105,10771.11168
290,2016-09-30,36307.19,-0.6,147.24797890000002,51125.41865,9419.75572
291,2016-09-23,37258.01,-0.5,128.247435,53325.39819,10259.50356
292,2016-09-16,36416.23,-1.1,126.2417488,55407.35975,11431.2388
293,2016-09-09,36936.8,-3.2,122.7841,57227.83742,14873.45898
294,2016-09-02,38273.42,2.32,124.4430716,58160.31165,14491.00136
295,2016-08-26,36568.6,0.54,76.2966318,59453.88424,17323.581570000002
296,2016-08-19,36947.3,0.31,92.0548262,60068.25358,13414.94648
297,2016-08-12,36693.85,-0.5,94.3872617,62161.57754,11804.80893
298,2016-08-05,36789.32,-0.4,95.4878781,63980.02612,11563.66451
299,2016-07-29,36797.87,1.59,66.2096024,65668.46261,12622.79286
300,2016-07-22,36273.23,0.83,66.75335,67258.02192,14587.27612
301,2016-07-15,34790.63,1.11,66.4954812,68301.43765,17569.78509
302,2016-07-08,32557.33,1.75,64.6249517,69800.96559,14854.48336
303,2016-07-01,30713.24,-0.2,62.2876946,70947.00098,16516.12591
304,2016-06-24,29540.43,-1.0,56.276058500000005,71534.91219,20259.62298
305,2016-06-17,27746.44,0.69,70.6257755,72092.85274,20910.59461
306,2016-06-10,27376.99,-1.7,56.3011022,72235.63668,20917.56506
307,2016-06-03,27439.82,0.65,70.239244,72125.58866000001,20636.60688
308,2016-05-27,26775.51,0.32,60.1201037,72465.78875,21801.92237
309,2016-05-20,27133.68,0.71,61.9911422,71757.84645,19891.96783
310,2016-05-13,28510.16,-1.9,65.9058752,72239.15033,20438.63728
311,2016-05-06,28208.75,0.02,72.6154547,73052.43993000001,18250.59791
312,2016-04-29,28667.2,-1.2,80.4444999,73417.81572,19681.72929
313,2016-04-22,28375.79,0.22,79.8755747,73683.14456,18084.91237
314,2016-04-15,28335.4,1.57,78.111356,74363.2027,20687.39743
315,2016-04-08,26866.4,2.83,76.79969270000001,74681.01219000001,23983.92899
316,2016-04-01,27890.0,0.11,71.3257529,74613.3028,29605.72176
317,2016-03-18,27379.44,-0.0,61.0278708,71941.24473,32829.39125
318,2016-03-11,27540.18,1.55,73.4548372,69437.11142,36495.46999
319,2016-03-04,26242.86,0.97,58.2932267,66636.2682,33221.02132
320,2016-02-26,24288.81,-1.7,43.0080178,64925.94433,28229.28857
321,2016-02-19,24800.37,-1.0,29.1912233,63271.86692,33266.52472
322,2016-02-12,23786.17,-0.8,18.998839900000004,60994.247,33435.90468
323,2016-02-05,24439.65,1.43,38.9427616,58813.37735,39095.09142
324,2016-01-29,24033.85,5.12,56.93557560000001,55308.70381,44955.05986
325,2016-01-22,21424.73,2.41,60.0300495,51228.838950000005,53888.4763
326,2016-01-15,21670.9,-1.5,93.3775649,43761.77201,40583.13014
327,2016-01-08,22660.84,-0.8,87.3178718,40200.60062,27469.25012
328,2015-12-18,24063.55,-3.2,121.0802538,37436.82662,20974.65084
329,2015-12-11,24758.34,0.05,150.1176252,37080.08118,23700.24895
330,2015-12-04,24664.33,-2.3,166.7515378,36324.18672,22349.37008
331,2015-11-27,25714.15,-2.8,207.6573363,35965.02989,19579.29781
332,2015-11-13,27016.72,-0.4,194.0124047,35803.61402,17642.71626
333,2015-11-06,27235.76,-2.2,224.3526288,36104.11948,17910.96515
334,2015-10-30,26711.21,2.36,207.4597155,36452.8794,13578.9879
335,2015-10-23,26745.96,-1.2,205.3509609,37332.04176,11450.33612
336,2015-10-16,26557.8,-1.4,189.4862102,38821.39957,18357.46075
337,2015-10-09,26902.59,0.9,202.3759524,39651.0344,11938.9988
338,2015-10-02,25951.19,2.45,191.0661786,41019.29456,13768.25628
339,2015-09-25,25274.34,-1.0,211.2809104,41936.77634,11888.42509
340,2015-09-18,26350.37,-2.8,196.626758,43179.61276,18214.04953
341,2015-09-11,25620.85,0.61,229.2577631,42893.21988,17299.99509
342,2015-09-04,25239.2,-1.9,260.3647926,43272.0844,9353.02294
343,2015-08-28,26156.44,-1.4,145.3875778,44596.42752,10150.29588
344,2015-08-21,26458.55,-3.0,143.22166470000002,45911.36667,9502.85121
345,2015-08-14,27810.98,-0.6,136.1124408,47278.20498,10342.72065
346,2015-08-07,28233.56,-1.5,135.3307867,48368.9139,12377.65582
347,2015-07-31,29605.9,1.66,190.2017787,48935.61989,14897.151860000002
348,2015-07-24,28758.31,-2.4,166.9508707,48912.961350000005,18052.31888
349,2015-07-17,30564.79,-1.4,239.18886530000003,48468.7719,23760.82373
350,2015-07-10,30360.01,0.15,315.4736904,47101.56896,21056.873020000003
351,2015-07-03,30695.39,0.01,374.8810153,46251.31775,15453.6984
352,2015-06-26,30291.98,1.96,361.442771,46506.25008,14369.44412
353,2015-06-19,30445.47,-0.0,349.1730164,46236.78966,17229.730330000002
354,2015-06-12,29992.89,-0.7,379.3324132,46005.64287,15764.10126
355,2015-06-05,30520.38,-0.7,367.9026418,45915.60905,17666.584310000002
356,2015-05-29,30202.54,-2.4,447.9765534,45234.92757,19644.78172
357,2015-05-22,30518.72,-0.2,418.3376384,44869.08499,17864.69371
358,2015-05-15,31260.31,0.97,391.8579544,44573.38071,21899.669970000003
359,2015-05-08,31261.94,1.44,414.9257234,43342.68572,20037.02221
360,2015-04-24,29391.29,0.37,900.5667010000001,41490.22114,22836.49736
