nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-02;796.208;;4332.942;;18.3757
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-02;579.502;;890.994;;65.0399
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2021-12-02;76.711;;555.798;;13.802
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-02;770.276;;5393.697;;14.281
MAUA;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2021-12-02;118.146;204.516;261.737;451.213;45.1392
MIRANDA;26;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;155.262;;269.778;;57.5518
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;2832.21;;22766.333;;12.4403
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-02;756.983;;4561.222;;16.5961
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-02;883.626;;1706.162;;51.7903
PASSO REAL;111;Reservatório com Usina;JACUI;SUL;S;SUL;;;2021-12-02;1297.176;;2828.801;;45.856
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;;;2021-12-02;398.09;;335.383;;118.6971
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2021-12-02;28.742;33.789;114.392;147.034;25.1259
PORTO ESTRELA;135;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;;;2021-12-02;12.378;;12.899;;95.9609
PROMISSÃO;40;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-12-02;276.737;;1829.65;;15.1251
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-02;5.9;;10.163;;58.0537
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-12-02;101.322;176.078;283.402;484.803;35.752
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-12-02;7.677;31.191;11.43;42.91;67.1654
RONDON II;276;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2021-12-02;20.966;;56.442;;37.1461
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;553.873;;6581.918;;8.4151
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-02;1482.328;;3340.803;;44.3704
SAMUEL;279;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2021-12-02;9.23;;257.288;;3.5874
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-02;88.797;;454.095;;19.5547
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-02;243.74;;373.966;;65.177
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;660.974;;5014.801;;13.1805
SEGREDO;76;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-02;159.463;;447.497;;35.6344
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2021-12-02;7668.409;2561.709;35277.664;6620.419;21.7373
SINOP;227;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;;;2021-12-02;350.127;;900.655;;38.8747
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2021-12-02;11116.12;;30100.282;;36.9303
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-12-02;0.0;;2328.579;;0.0
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-12-02;717.891;5743.758;2345.606;16040.745;30.6058
TUCURUI;275;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;;;2021-12-02;2040.224;;7721.097;;26.424
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-03;505.494;;4340.282;;11.6466
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-12-03;1418.005;;2713.786;;52.2519
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2021-12-03;408.652;;785.737;;52.0088
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-03;1527.762;;2991.427;;51.0713
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;517.226;;2751.514;;18.7979
BILLINGS;118;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2021-12-03;1490.69;;2444.556;;60.98
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2021-12-03;123.705;;264.178;;46.8264
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;3.086;;20.753;;14.8701
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-03;270.528;;853.4;;31.7
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;30.609;;30.877;;99.132
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-03;367.926;;1566.693;;23.4842
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-03;129.116;;227.826;;56.6731
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-12-03;1697.688;;3889.672;;43.646
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-12-03;1276.315;;3370.499;;37.8672
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;580.926;;1531.054;;37.9429
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;244.866;;425.126;;57.5985
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;619.272;;1415.959;;43.7352
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2021-12-03;28.453;;28.109;;101.2238
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;2860.248;;21873.496;;13.0763
ERNESTINA;110;Reservatório sem usina;JACUI;SUL;S;SUL;;;2021-12-03;158.77;;200.552;;79.1665
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;53.08;;112.927;;47.0038
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-03;276.483;;813.622;;33.9818
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-03;7244.603;;34989.943;;20.7048
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-03;3238.603;;5880.363;;55.0749
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2021-12-03;178.227;;374.956;;47.5328
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-03;24.424;;101.775;;23.998
GUARAPIRANGA;117;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2021-12-03;229.389;;408.675;;56.1299
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2021-12-03;0.0;;3691.575;;0.0
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-12-03;457.87;258.86;1962.895;1004.893;23.3263
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2021-12-03;1995.11;;3418.033;;58.3701
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-03;2838.476;;15706.409;;18.0721
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-03;302.942;;1213.775;;24.9587
JORDÃO;73;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2021-12-03;8.066;;20.306;;39.7222
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-12-03;923.543;;4121.37;;22.4086
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-03;430.541;;512.183;;84.06
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-03;834.485;;4332.942;;19.2591
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-03;546.778;;890.994;;61.3672
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2021-12-03;77.498;;555.798;;13.9436
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-03;772.327;;5393.697;;14.3191
MAUA;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2021-12-03;115.536;200.041;261.737;451.213;44.142
